net_migration,x,y
positive,-86.46660426289041,32.501022396000145
positive,-86.53453820142354,32.36191356887729
positive,-86.52153400473513,32.65883001394005
positive,-86.58443892918734,32.46595252967235
positive,-86.70994838629669,32.45300283426627
positive,-86.52851940940718,32.39419828056995
positive,-86.90715795119617,32.64867796483792
positive,-86.91677193098944,32.649928295852135
positive,-87.95644145537017,30.97716789391692
positive,-87.71835090385244,30.335101925861398
positive,-87.84027210933135,30.488618329669396
positive,-87.90803024059908,31.15172202241842
positive,-87.86278505275207,31.082211032181558
positive,-87.96674544578023,30.873642911501047
positive,-87.59015543967303,30.48367601096943
positive,-87.8390947510501,30.395085962388222
positive,-87.65329330838603,31.188735890138783
positive,-87.68507588570402,30.600934054179074
positive,-87.79256788132069,30.553985409086927
positive,-87.77573851037985,30.409691687166568
positive,-87.85987511132049,30.444888261260708
positive,-87.6546290958247,30.893692839730818
positive,-87.8894807925832,30.631243233775752
positive,-87.70398308797552,30.562569180861875
positive,-87.5410295565693,30.73696653886195
positive,-87.70184186763478,31.274532545508798
positive,-87.46894886552687,30.508470494868355
positive,-87.49893198988637,30.468513107295923
positive,-87.82656678575488,30.637430665804082
positive,-87.93915000893041,31.17430901484113
positive,-87.69926096105776,30.727160933942702
positive,-87.7309698057085,30.376716563139755
positive,-87.66508420797308,30.42236826918963
positive,-87.58675199479914,30.268300491487512
positive,-87.77209953537103,31.040538572907863
positive,-87.81001982963156,30.39734688373428
positive,-87.92729534499924,30.837767190009753
positive,-87.72059759205109,30.442410685275256
positive,-87.89027937270735,30.545133065176184
positive,-87.82518389817264,30.660317254066932
positive,-87.54233011481853,30.41412737431866
positive,-87.79856231650373,31.2688125296468
positive,-87.62947746692113,30.506781861004743
positive,-87.83865988840714,30.42800523631132
positive,-87.4674661640544,30.383626823299082
positive,-87.46895597358592,30.65646322147962
positive,-87.90860545364424,30.60065799797399
positive,-87.7761996074772,31.008011703951944
positive,-87.70934137346288,30.66268223633514
positive,-87.61118912043924,30.32161362036024
positive,-87.6499586460974,30.832915971392275
positive,-87.91468986050042,30.461778737083307
positive,-87.6849558866538,30.28512599170616
positive,-87.73428820619714,31.190822150190616
positive,-87.54027746179476,30.30571405382804
positive,-87.90266140778209,30.609948334671905
positive,-87.48097437035767,30.687875053826456
positive,-87.7763161931427,30.716507468533454
positive,-87.99101165206295,30.687097565127594
positive,-87.63308024124994,30.355370223268075
positive,-87.92670693357779,30.666167816988583
